"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","290","Create user","LMS service","Sat Nov 08 18:20:13 UTC 2025","passed","Sat Nov 08 18:20:14 UTC 2025","Create entity","Users","",""
"","19","Get exercise","LMS service","Sat Nov 08 18:20:08 UTC 2025","passed","Sat Nov 08 18:20:08 UTC 2025","Get entity","Exercises","",""
"","529","Create user","LMS service","Sat Nov 08 18:20:13 UTC 2025","passed","Sat Nov 08 18:20:13 UTC 2025","Create entity","Users","",""
"","291","Delete exercise","LMS service","Sat Nov 08 18:20:09 UTC 2025","passed","Sat Nov 08 18:20:09 UTC 2025","Delete entity","Exercises","",""
"","260","Get file with incorrect file id","LMS service","Sat Nov 08 18:20:13 UTC 2025","passed","Sat Nov 08 18:20:13 UTC 2025","Validate entity","Files","",""
"","255","Create file with empty filename","LMS service","Sat Nov 08 18:20:11 UTC 2025","passed","Sat Nov 08 18:20:11 UTC 2025","Validate entity","Files","",""
"","320","Update courses","LMS service","Sat Nov 08 18:20:05 UTC 2025","passed","Sat Nov 08 18:20:05 UTC 2025","Update entity","Courses","",""
"","560","Create user","LMS service","Sat Nov 08 18:20:13 UTC 2025","passed","Sat Nov 08 18:20:14 UTC 2025","Create entity","Users","",""
"","25","Delete file","LMS service","Sat Nov 08 18:20:13 UTC 2025","passed","Sat Nov 08 18:20:13 UTC 2025","Delete entity","Files","",""
"","258","Create file with empty directory","LMS service","Sat Nov 08 18:20:12 UTC 2025","passed","Sat Nov 08 18:20:12 UTC 2025","Validate entity","Files","",""
"","553","Login with correct email and password","LMS service","Sat Nov 08 18:20:05 UTC 2025","passed","Sat Nov 08 18:20:05 UTC 2025","Login","Authentication","",""
"","23","Create exercise","LMS service","Sat Nov 08 18:20:07 UTC 2025","passed","Sat Nov 08 18:20:07 UTC 2025","Create entity","Exercises","",""
"","16","Get file","LMS service","Sat Nov 08 18:20:11 UTC 2025","passed","Sat Nov 08 18:20:11 UTC 2025","Get entity","Files","",""
"","25","Get courses","LMS service","Sat Nov 08 18:20:06 UTC 2025","passed","Sat Nov 08 18:20:06 UTC 2025","Get entities","Courses","",""
"","291","Update exercise","LMS service","Sat Nov 08 18:20:08 UTC 2025","passed","Sat Nov 08 18:20:08 UTC 2025","Update entity","Exercises","",""
"","18","Get exercises","LMS service","Sat Nov 08 18:20:10 UTC 2025","passed","Sat Nov 08 18:20:10 UTC 2025","Get entities","Exercises","",""
"","13","Get user me","LMS service","Sat Nov 08 18:20:14 UTC 2025","passed","Sat Nov 08 18:20:14 UTC 2025","Get entity","Users","",""
"","29","Create courses","LMS service","Sat Nov 08 18:20:07 UTC 2025","passed","Sat Nov 08 18:20:07 UTC 2025","Create entity","Courses","",""
"","256","Create file","LMS service","Sat Nov 08 18:20:10 UTC 2025","passed","Sat Nov 08 18:20:10 UTC 2025","Create entity","Files","",""
