"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","Get exercises","LMS service","Sat Nov 29 12:44:34 UTC 2025","passed","Sat Nov 29 12:44:34 UTC 2025","Get entities","Exercises","",""
"","263","Get file with incorrect file id","LMS service","Sat Nov 29 12:44:37 UTC 2025","passed","Sat Nov 29 12:44:37 UTC 2025","Validate entity","Files","",""
"","257","Create file with empty filename","LMS service","Sat Nov 29 12:44:35 UTC 2025","passed","Sat Nov 29 12:44:35 UTC 2025","Validate entity","Files","",""
"","46","Get exercise","LMS service","Sat Nov 29 12:44:33 UTC 2025","passed","Sat Nov 29 12:44:33 UTC 2025","Get entity","Exercises","",""
"","34","Update courses","LMS service","Sat Nov 29 12:44:29 UTC 2025","passed","Sat Nov 29 12:44:29 UTC 2025","Update entity","Courses","",""
"","34","Get courses","LMS service","Sat Nov 29 12:44:30 UTC 2025","passed","Sat Nov 29 12:44:30 UTC 2025","Get entities","Courses","",""
"","292","Delete file","LMS service","Sat Nov 29 12:44:36 UTC 2025","passed","Sat Nov 29 12:44:36 UTC 2025","Delete entity","Files","",""
"","265","Create file with empty directory","LMS service","Sat Nov 29 12:44:36 UTC 2025","passed","Sat Nov 29 12:44:36 UTC 2025","Validate entity","Files","",""
"","21","Create file","LMS service","Sat Nov 29 12:44:34 UTC 2025","passed","Sat Nov 29 12:44:34 UTC 2025","Create entity","Files","",""
"","30","Create courses","LMS service","Sat Nov 29 12:44:30 UTC 2025","passed","Sat Nov 29 12:44:30 UTC 2025","Create entity","Courses","",""
"","15","Get file","LMS service","Sat Nov 29 12:44:35 UTC 2025","passed","Sat Nov 29 12:44:35 UTC 2025","Get entity","Files","",""
"","565","Create user","LMS service","Sat Nov 29 12:44:37 UTC 2025","passed","Sat Nov 29 12:44:38 UTC 2025","Create entity","Users","",""
"","550","Login with correct email and password","LMS service","Sat Nov 29 12:44:29 UTC 2025","passed","Sat Nov 29 12:44:29 UTC 2025","Login","Authentication","",""
"","20","Delete exercise","LMS service","Sat Nov 29 12:44:33 UTC 2025","passed","Sat Nov 29 12:44:33 UTC 2025","Delete entity","Exercises","",""
"","289","Create user","LMS service","Sat Nov 29 12:44:37 UTC 2025","passed","Sat Nov 29 12:44:37 UTC 2025","Create entity","Users","",""
"","21","Update exercise","LMS service","Sat Nov 29 12:44:31 UTC 2025","passed","Sat Nov 29 12:44:32 UTC 2025","Update entity","Exercises","",""
"","549","Create user","LMS service","Sat Nov 29 12:44:37 UTC 2025","passed","Sat Nov 29 12:44:37 UTC 2025","Create entity","Users","",""
"","24","Create exercise","LMS service","Sat Nov 29 12:44:31 UTC 2025","passed","Sat Nov 29 12:44:31 UTC 2025","Create entity","Exercises","",""
"","13","Get user me","LMS service","Sat Nov 29 12:44:38 UTC 2025","passed","Sat Nov 29 12:44:38 UTC 2025","Get entity","Users","",""
