"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","547","Create user","LMS service","Sat Nov 08 18:08:38 UTC 2025","passed","Sat Nov 08 18:08:39 UTC 2025","Create entity","Users","",""
"","16","Get file","LMS service","Sat Nov 08 18:08:36 UTC 2025","passed","Sat Nov 08 18:08:36 UTC 2025","Get entity","Files","",""
"","22","Get exercises","LMS service","Sat Nov 08 18:08:34 UTC 2025","passed","Sat Nov 08 18:08:34 UTC 2025","Get entities","Exercises","",""
"","26","Delete exercise","LMS service","Sat Nov 08 18:08:34 UTC 2025","passed","Sat Nov 08 18:08:34 UTC 2025","Delete entity","Exercises","",""
"","302","Update courses","LMS service","Sat Nov 08 18:08:30 UTC 2025","passed","Sat Nov 08 18:08:31 UTC 2025","Update entity","Courses","",""
"","34","Create courses","LMS service","Sat Nov 08 18:08:32 UTC 2025","passed","Sat Nov 08 18:08:32 UTC 2025","Create entity","Courses","",""
"","262","Create file","LMS service","Sat Nov 08 18:08:35 UTC 2025","passed","Sat Nov 08 18:08:36 UTC 2025","Create entity","Files","",""
"","285","Create user","LMS service","Sat Nov 08 18:08:38 UTC 2025","passed","Sat Nov 08 18:08:38 UTC 2025","Create entity","Users","",""
"","257","Create file with empty filename","LMS service","Sat Nov 08 18:08:37 UTC 2025","passed","Sat Nov 08 18:08:37 UTC 2025","Validate entity","Files","",""
"","20","Get exercise","LMS service","Sat Nov 08 18:08:33 UTC 2025","passed","Sat Nov 08 18:08:34 UTC 2025","Get entity","Exercises","",""
"","21","Delete file","LMS service","Sat Nov 08 18:08:38 UTC 2025","passed","Sat Nov 08 18:08:38 UTC 2025","Delete entity","Files","",""
"","18","Get user me","LMS service","Sat Nov 08 18:08:39 UTC 2025","passed","Sat Nov 08 18:08:39 UTC 2025","Get entity","Users","",""
"","521","Create user","LMS service","Sat Nov 08 18:08:38 UTC 2025","passed","Sat Nov 08 18:08:39 UTC 2025","Create entity","Users","",""
"","301","Get courses","LMS service","Sat Nov 08 18:08:31 UTC 2025","passed","Sat Nov 08 18:08:31 UTC 2025","Get entities","Courses","",""
"","292","Update exercise","LMS service","Sat Nov 08 18:08:33 UTC 2025","passed","Sat Nov 08 18:08:33 UTC 2025","Update entity","Exercises","",""
"","285","Login with correct email and password","LMS service","Sat Nov 08 18:08:30 UTC 2025","passed","Sat Nov 08 18:08:30 UTC 2025","Login","Authentication","",""
"","18","Create file with empty directory","LMS service","Sat Nov 08 18:08:37 UTC 2025","passed","Sat Nov 08 18:08:37 UTC 2025","Validate entity","Files","",""
"","22","Create exercise","LMS service","Sat Nov 08 18:08:32 UTC 2025","passed","Sat Nov 08 18:08:32 UTC 2025","Create entity","Exercises","",""
"","15","Get file with incorrect file id","LMS service","Sat Nov 08 18:08:38 UTC 2025","passed","Sat Nov 08 18:08:38 UTC 2025","Validate entity","Files","",""
