"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","527","Create user","LMS service","Sat Nov 29 13:02:57 UTC 2025","passed","Sat Nov 29 13:02:58 UTC 2025","Create entity","Users","",""
"","62","Get exercise","LMS service","Sat Nov 29 13:02:53 UTC 2025","passed","Sat Nov 29 13:02:53 UTC 2025","Get entity","Exercises","",""
"","13","Get user me","LMS service","Sat Nov 29 13:02:59 UTC 2025","passed","Sat Nov 29 13:02:59 UTC 2025","Get entity","Users","",""
"","307","Update courses","LMS service","Sat Nov 29 13:02:49 UTC 2025","passed","Sat Nov 29 13:02:50 UTC 2025","Update entity","Courses","",""
"","264","Get file with incorrect file id","LMS service","Sat Nov 29 13:02:57 UTC 2025","passed","Sat Nov 29 13:02:58 UTC 2025","Validate entity","Files","",""
"","28","Delete file","LMS service","Sat Nov 29 13:02:57 UTC 2025","passed","Sat Nov 29 13:02:57 UTC 2025","Delete entity","Files","",""
"","25","Create exercise","LMS service","Sat Nov 29 13:02:52 UTC 2025","passed","Sat Nov 29 13:02:52 UTC 2025","Create entity","Exercises","",""
"","33","Create courses","LMS service","Sat Nov 29 13:02:51 UTC 2025","passed","Sat Nov 29 13:02:51 UTC 2025","Create entity","Courses","",""
"","268","Create file","LMS service","Sat Nov 29 13:02:54 UTC 2025","passed","Sat Nov 29 13:02:55 UTC 2025","Create entity","Files","",""
"","17","Get file","LMS service","Sat Nov 29 13:02:55 UTC 2025","passed","Sat Nov 29 13:02:55 UTC 2025","Get entity","Files","",""
"","269","Create file with empty filename","LMS service","Sat Nov 29 13:02:56 UTC 2025","passed","Sat Nov 29 13:02:56 UTC 2025","Validate entity","Files","",""
"","263","Create file with empty directory","LMS service","Sat Nov 29 13:02:56 UTC 2025","passed","Sat Nov 29 13:02:56 UTC 2025","Validate entity","Files","",""
"","554","Login with correct email and password","LMS service","Sat Nov 29 13:02:49 UTC 2025","passed","Sat Nov 29 13:02:49 UTC 2025","Login","Authentication","",""
"","40","Get courses","LMS service","Sat Nov 29 13:02:50 UTC 2025","passed","Sat Nov 29 13:02:50 UTC 2025","Get entities","Courses","",""
"","292","Update exercise","LMS service","Sat Nov 29 13:02:52 UTC 2025","passed","Sat Nov 29 13:02:52 UTC 2025","Update entity","Exercises","",""
"","294","Create user","LMS service","Sat Nov 29 13:02:58 UTC 2025","passed","Sat Nov 29 13:02:58 UTC 2025","Create entity","Users","",""
"","563","Create user","LMS service","Sat Nov 29 13:02:58 UTC 2025","passed","Sat Nov 29 13:02:58 UTC 2025","Create entity","Users","",""
"","18","Get exercises","LMS service","Sat Nov 29 13:02:54 UTC 2025","passed","Sat Nov 29 13:02:54 UTC 2025","Get entities","Exercises","",""
"","295","Delete exercise","LMS service","Sat Nov 29 13:02:53 UTC 2025","passed","Sat Nov 29 13:02:54 UTC 2025","Delete entity","Exercises","",""
