"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","285","Update exercise","LMS service","Sat Nov 29 12:40:35 UTC 2025","passed","Sat Nov 29 12:40:36 UTC 2025","Update entity","Exercises","",""
"","264","Get file with incorrect file id","LMS service","Sat Nov 29 12:40:40 UTC 2025","passed","Sat Nov 29 12:40:41 UTC 2025","Validate entity","Files","",""
"","291","Create user","LMS service","Sat Nov 29 12:40:41 UTC 2025","passed","Sat Nov 29 12:40:41 UTC 2025","Create entity","Users","",""
"","320","Get exercise","LMS service","Sat Nov 29 12:40:36 UTC 2025","passed","Sat Nov 29 12:40:36 UTC 2025","Get entity","Exercises","",""
"","31","Create courses","LMS service","Sat Nov 29 12:40:34 UTC 2025","passed","Sat Nov 29 12:40:34 UTC 2025","Create entity","Courses","",""
"","20","Get exercises","LMS service","Sat Nov 29 12:40:37 UTC 2025","passed","Sat Nov 29 12:40:37 UTC 2025","Get entities","Exercises","",""
"","552","Login with correct email and password","LMS service","Sat Nov 29 12:40:32 UTC 2025","passed","Sat Nov 29 12:40:33 UTC 2025","Login","Authentication","",""
"","12","Get user me","LMS service","Sat Nov 29 12:40:42 UTC 2025","passed","Sat Nov 29 12:40:42 UTC 2025","Get entity","Users","",""
"","34","Get courses","LMS service","Sat Nov 29 12:40:33 UTC 2025","passed","Sat Nov 29 12:40:33 UTC 2025","Get entities","Courses","",""
"","267","Create file with empty filename","LMS service","Sat Nov 29 12:40:39 UTC 2025","passed","Sat Nov 29 12:40:39 UTC 2025","Validate entity","Files","",""
"","263","Create file","LMS service","Sat Nov 29 12:40:37 UTC 2025","passed","Sat Nov 29 12:40:38 UTC 2025","Create entity","Files","",""
"","557","Create user","LMS service","Sat Nov 29 12:40:41 UTC 2025","passed","Sat Nov 29 12:40:41 UTC 2025","Create entity","Users","",""
"","25","Create exercise","LMS service","Sat Nov 29 12:40:35 UTC 2025","passed","Sat Nov 29 12:40:35 UTC 2025","Create entity","Exercises","",""
"","20","Delete file","LMS service","Sat Nov 29 12:40:40 UTC 2025","passed","Sat Nov 29 12:40:40 UTC 2025","Delete entity","Files","",""
"","269","Create file with empty directory","LMS service","Sat Nov 29 12:40:39 UTC 2025","passed","Sat Nov 29 12:40:39 UTC 2025","Validate entity","Files","",""
"","522","Create user","LMS service","Sat Nov 29 12:40:40 UTC 2025","passed","Sat Nov 29 12:40:41 UTC 2025","Create entity","Users","",""
"","303","Update courses","LMS service","Sat Nov 29 12:40:33 UTC 2025","passed","Sat Nov 29 12:40:33 UTC 2025","Update entity","Courses","",""
"","291","Delete exercise","LMS service","Sat Nov 29 12:40:37 UTC 2025","passed","Sat Nov 29 12:40:37 UTC 2025","Delete entity","Exercises","",""
"","17","Get file","LMS service","Sat Nov 29 12:40:38 UTC 2025","passed","Sat Nov 29 12:40:38 UTC 2025","Get entity","Files","",""
