"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","Get courses","LMS service","Sat Nov 08 17:25:37 UTC 2025","passed","Sat Nov 08 17:25:37 UTC 2025","Get entities","Courses","",""
"","17","Get user me","LMS service","Sat Nov 08 17:25:45 UTC 2025","passed","Sat Nov 08 17:25:45 UTC 2025","Get entity","Users","",""
"","23","Update exercise","LMS service","Sat Nov 08 17:25:39 UTC 2025","passed","Sat Nov 08 17:25:39 UTC 2025","Update entity","Exercises","",""
"","551","Create user","LMS service","Sat Nov 08 17:25:44 UTC 2025","passed","Sat Nov 08 17:25:44 UTC 2025","Create entity","Users","",""
"","48","Get exercise","LMS service","Sat Nov 08 17:25:40 UTC 2025","passed","Sat Nov 08 17:25:40 UTC 2025","Get entity","Exercises","",""
"","290","Create user","LMS service","Sat Nov 08 17:25:44 UTC 2025","passed","Sat Nov 08 17:25:44 UTC 2025","Create entity","Users","",""
"","552","Login with correct email and password","LMS service","Sat Nov 08 17:25:36 UTC 2025","passed","Sat Nov 08 17:25:36 UTC 2025","Login","Authentication","",""
"","33","Update courses","LMS service","Sat Nov 08 17:25:36 UTC 2025","passed","Sat Nov 08 17:25:36 UTC 2025","Update entity","Courses","",""
"","23","Create exercise","LMS service","Sat Nov 08 17:25:38 UTC 2025","passed","Sat Nov 08 17:25:38 UTC 2025","Create entity","Exercises","",""
"","556","Create user","LMS service","Sat Nov 08 17:25:44 UTC 2025","passed","Sat Nov 08 17:25:45 UTC 2025","Create entity","Users","",""
"","265","Get file with incorrect file id","LMS service","Sat Nov 08 17:25:44 UTC 2025","passed","Sat Nov 08 17:25:44 UTC 2025","Validate entity","Files","",""
"","262","Create file with empty filename","LMS service","Sat Nov 08 17:25:42 UTC 2025","passed","Sat Nov 08 17:25:42 UTC 2025","Validate entity","Files","",""
"","15","Get file","LMS service","Sat Nov 08 17:25:42 UTC 2025","passed","Sat Nov 08 17:25:42 UTC 2025","Get entity","Files","",""
"","22","Delete exercise","LMS service","Sat Nov 08 17:25:40 UTC 2025","passed","Sat Nov 08 17:25:40 UTC 2025","Delete entity","Exercises","",""
"","26","Create courses","LMS service","Sat Nov 08 17:25:37 UTC 2025","passed","Sat Nov 08 17:25:37 UTC 2025","Create entity","Courses","",""
"","24","Create file","LMS service","Sat Nov 08 17:25:41 UTC 2025","passed","Sat Nov 08 17:25:41 UTC 2025","Create entity","Files","",""
"","265","Create file with empty directory","LMS service","Sat Nov 08 17:25:43 UTC 2025","passed","Sat Nov 08 17:25:43 UTC 2025","Validate entity","Files","",""
"","23","Get exercises","LMS service","Sat Nov 08 17:25:41 UTC 2025","passed","Sat Nov 08 17:25:41 UTC 2025","Get entities","Exercises","",""
"","293","Delete file","LMS service","Sat Nov 08 17:25:43 UTC 2025","passed","Sat Nov 08 17:25:44 UTC 2025","Delete entity","Files","",""
